chromosome1	x1	x2	chromosome2	y1	y2	color	APScoreAvg	ProbabilityofEnrichment	RegAPScoreAvg	Avg_diffMaxNeihgboor_1	Avg_diffMaxNeihgboor_2	avg	std	value
c1	375000	380000	c1	595000	600000	0,0,0	3.940571	0.99962956	1.8443087	5.5887017	7.5174246	7.4381275	2.5280805	12.405862
c1	8558000	8560000	c1	8610000	8612000	0,0,0	3.712708	0.99505466	2.3351529	1.9214747	2.1176338	3.6018796	0.9653044	5.309857
c1	9978000	9980000	c1	10086000	10088000	0,0,0	4.80381	1.0	2.5352595	1.7129034	2.0120625	2.3649547	0.72040594	3.8875353
c1	10240000	10245000	c1	10480000	10485000	0,0,0	4.4081388	0.9994356	1.988816	3.8196075	4.5051446	4.085362	2.151556	7.4805684
c1	5125000	5130000	c1	5190000	5195000	0,0,0	2.8758833	0.99710035	1.6608078	4.2680354	5.5871587	7.902031	2.608312	11.69584
c1	7364000	7366000	c1	7406000	7408000	0,0,0	4.030755	0.99883324	2.1619594	1.7045697	4.0406528	5.239031	0.8994794	6.754204
c1	7152000	7153000	c1	7208000	7209000	0,0,0	26.860928	1.0	11.694769	5.0665836	5.645064	4.7666187	3.535332	9.270248
c1	3520000	3525000	c1	3740000	3745000	0,0,0	4.508448	0.9997384	1.9829435	4.790059	4.8255496	3.991732	1.9071805	8.249562
c1	3765000	3770000	c1	3825000	3830000	0,0,0	3.0146227	0.9991672	1.8735192	1.863206	5.8394556	9.792208	1.3083428	11.448391
c1	4998000	5000000	c1	5038000	5040000	0,0,0	4.4981956	0.9985343	3.233919	1.559639	2.0861874	5.1397495	0.7842907	6.526095
c1	62000	64000	c1	420000	422000	0,0,0	12.744492	1.0	4.7710414	6.630037	8.887488	6.5892406	2.8991165	12.482607
c1	5395000	5400000	c1	5535000	5540000	0,0,0	3.5678287	0.99900216	1.7411733	4.37604	5.201189	5.347067	1.6709062	9.23688
c1	10330000	10332000	c1	10366000	10368000	0,0,0	5.1298995	0.9998206	2.6103098	4.3339314	4.453479	4.7743454	2.2761083	8.626729
c1	10252000	10254000	c1	10278000	10280000	0,0,0	4.7279243	0.9997867	2.581828	3.7308097	4.130201	5.137182	1.4745653	8.453457
c1	8924000	8926000	c1	8986000	8988000	0,0,0	3.983586	0.99091715	2.0567462	2.1493604	2.4788527	2.791309	0.969368	4.7018514
c1	2624000	2626000	c1	2650000	2652000	0,0,0	8.621506	1.0	4.754147	1.8491552	3.5066583	4.678583	0.8064794	6.3222766
c1	5535000	5540000	c1	5655000	5660000	0,0,0	6.762406	0.9999863	4.6288385	3.7030106	5.0017595	10.610275	2.747606	13.901841
c1	226000	228000	c1	286000	288000	0,0,0	15.099231	1.0	8.9014435	2.1847188	2.5270455	3.701355	1.4155375	5.6433277
c1	872000	874000	c1	910000	912000	0,0,0	3.716464	0.99393	2.1996439	1.2974207	2.6067579	3.9516602	1.0776355	5.104923
c1	74000	76000	c1	472000	474000	0,0,0	16.608284	1.0	2.5470417	27.269613	29.274464	8.196709	9.322953	32.436363
c1	70000	75000	c1	520000	525000	0,0,0	16.034111	1.0	8.188414	4.8617034	8.400649	9.845618	3.2231088	14.167133
c1	2975000	2980000	c1	3045000	3050000	0,0,0	2.7189422	0.9966446	1.7073281	4.2231617	4.576814	7.751089	2.3121428	11.505011
c1	10204000	10206000	c1	10248000	10250000	0,0,0	3.7831411	0.9971086	2.0511098	2.4661055	2.9493675	3.6545193	0.8864336	5.846613
c1	10300000	10302000	c1	10362000	10364000	0,0,0	5.5559955	0.99736935	2.3680923	3.4191015	3.6168377	2.9019358	1.5118641	5.9411373
c1	5850000	5855000	c1	6005000	6010000	0,0,0	2.6659122	0.9890638	1.6098559	3.0004694	3.6331162	5.626453	1.1438429	8.293537
c1	9734000	9736000	c1	9778000	9780000	0,0,0	4.6927586	0.998943	2.847684	2.0910964	3.1644804	4.9942236	1.4421031	6.852976
c1	65000	70000	c1	585000	590000	0,0,0	5.1814647	0.99992794	2.0008428	5.6203384	8.808032	7.1173573	2.7975183	12.113214
c1	9230000	9232000	c1	9304000	9306000	0,0,0	4.9523897	1.0	2.3455944	2.2107482	2.580969	2.5170124	1.175936	4.482122
c1	415000	420000	c1	590000	595000	0,0,0	32.193645	1.0	4.2305355	105.06805	117.104744	31.60035	43.29596	124.99417
c1	260000	265000	c1	325000	330000	0,0,0	4.2965736	0.9998076	1.6978841	6.64402	9.125704	7.26577	4.265289	13.171566
c1	10400000	10405000	c1	10470000	10475000	0,0,0	7.41729	0.9999981	3.8809657	4.207072	7.7057357	9.428079	2.1255937	13.167698
c1	4380000	4382000	c1	4408000	4410000	0,0,0	3.590814	0.99353284	2.4443023	1.1278248	1.9512644	4.0390263	0.66425014	5.0415373
c1	7654000	7656000	c1	7698000	7700000	0,0,0	7.921166	1.0	4.4662743	1.5887024	2.1301916	2.879157	0.940778	4.291337
c1	1186000	1188000	c1	1212000	1214000	0,0,0	5.6217403	0.99948716	2.3655403	4.3566456	4.6784325	3.7037458	1.7645506	7.5763197
c1	5976000	5978000	c1	6004000	6006000	0,0,0	4.071893	0.9971285	2.6065996	1.5996099	2.4914825	4.4316506	1.0938239	5.853526
c1	3446000	3448000	c1	3474000	3476000	0,0,0	5.505709	0.9998895	3.3056693	3.0062666	4.185669	6.4391303	1.1718792	9.111367
c1	5160000	5162000	c1	5184000	5186000	0,0,0	5.9694853	0.9995716	2.5417604	3.6770935	5.1204066	4.4877768	1.6229823	7.7563043
c1	2590000	2595000	c1	2655000	2660000	0,0,0	3.6533298	0.9996075	2.4094424	3.314971	3.803944	7.3191886	1.6068934	10.265828
c1	7055000	7060000	c1	7115000	7120000	0,0,0	4.13148	0.9990255	2.2141554	3.3857894	5.0239863	6.2535377	1.26997	9.263128
c1	8200000	8202000	c1	8224000	8226000	0,0,0	3.6933947	0.9983861	2.0114439	2.6275084	3.2613564	4.094186	0.879269	6.429749
c1	8506000	8508000	c1	8572000	8574000	0,0,0	5.88644	0.9983016	2.9365954	2.581127	3.7040358	4.0843945	1.7806365	6.37873
c1	728000	730000	c1	760000	762000	0,0,0	3.5898426	0.9992674	2.1505468	3.9206944	4.0403485	6.0936446	1.3748347	9.578706
c1	3554000	3555000	c1	3593000	3594000	0,0,0	24.488527	1.0	15.120535	1.0330515	1.4741156	2.412076	0.54587585	3.330344
c1	7030000	7035000	c1	7210000	7215000	0,0,0	4.5668125	0.99981993	2.0166883	6.010475	6.6954036	5.7754993	2.1801176	11.118144
c1	3840000	3845000	c1	3985000	3990000	0,0,0	3.4215112	0.99882424	1.8233145	3.0744119	3.3867557	4.0137477	1.1607584	6.746558
c1	8108000	8110000	c1	8132000	8134000	0,0,0	3.5243726	0.99836284	2.2003171	1.7069719	2.9124358	4.898139	1.0273349	6.4154477
c1	8505000	8510000	c1	8615000	8620000	0,0,0	2.5115535	0.99625975	1.8418459	2.4570498	3.505565	9.17845	1.6865375	11.3624935
c1	7526000	7528000	c1	7586000	7588000	0,0,0	4.909078	1.0	2.8401568	1.8910407	2.27215	3.2053447	0.8973757	4.88627
c1	8092000	8094000	c1	8172000	8174000	0,0,0	4.4702106	0.99348193	2.1166315	2.6285415	2.8267584	2.6972196	1.4430745	5.033701
c1	3480000	3482000	c1	3508000	3510000	0,0,0	4.4795923	0.9979947	2.0902343	2.7062259	3.8245811	3.8070695	1.2627873	6.2126036
c1	5318000	5320000	c1	5348000	5350000	0,0,0	4.76408	1.0	2.7791305	1.574786	1.8733953	2.6873338	0.8307145	4.0871434
c1	5504000	5506000	c1	5630000	5632000	0,0,0	5.468799	0.99853694	2.7635288	2.818163	3.6365216	4.0228796	1.56089	6.527913
c1	96000	98000	c1	458000	460000	0,0,0	6.415197	0.9999255	2.7752466	5.344208	5.7551904	4.755261	2.9606347	9.505668
c1	5946000	5948000	c1	5970000	5972000	0,0,0	4.5364385	0.999269	2.2799587	4.850214	5.0214405	5.269867	2.0851014	9.581168
c1	8950000	8952000	c1	8984000	8986000	0,0,0	4.2074227	0.99540555	2.5443034	2.066633	2.2916605	3.5464525	1.0398316	5.3834596
c1	9355000	9360000	c1	10440000	10445000	0,0,0	16.372782	1.0	2.5934708	23.345745	25.42834	7.4621224	9.018987	28.213896
c1	260000	265000	c1	530000	535000	0,0,0	6.9880657	0.9999823	2.2237904	6.6707745	8.3230915	5.0145717	2.660352	10.944149
c1	7880000	7885000	c1	7970000	7975000	0,0,0	3.8155377	0.99970335	2.251598	4.1966486	6.0137916	8.935946	3.5195253	12.6663
c1	8474000	8476000	c1	8578000	8580000	0,0,0	3.7937436	0.9860233	2.4165273	1.0045307	1.9202365	3.3778906	0.55954427	4.270807
c1	1666000	1668000	c1	1694000	1696000	0,0,0	25.931276	1.0	3.0035205	33.617725	37.43724	9.383053	10.8668	39.265476
c1	3635000	3640000	c1	3745000	3750000	0,0,0	3.0627134	0.99763376	1.6334965	3.7393155	4.1636963	4.9507627	1.8779099	8.274599
