chromosome1	x1	x2	chromosome2	y1	y2	color	APScoreAvg	ProbabilityofEnrichment	RegAPScoreAvg	Avg_diffMaxNeihgboor_1	Avg_diffMaxNeihgboor_2	avg	std	value
chr_1	2374000	2374400	chr_1	2429600	2430000	0,0,0	9.447732	0.99999994	5.144544	6.307679	9.115171	11.632758	3.664897	17.239584
chr_1	6357200	6357600	chr_1	6378400	6378800	0,0,0	22.468895	1.0	7.4205933	13.0138645	15.481466	9.4441395	5.3165245	21.01202
chr_1	5720000	5720400	chr_1	5733600	5734000	0,0,0	11.822744	0.9999978	4.992718	7.5987124	7.967477	6.2813244	2.887653	13.035735
chr_1	7611200	7612000	chr_1	7640800	7641600	0,0,0	4.668238	0.99682474	2.6462047	1.794676	2.9962215	4.157694	1.117	5.7529616
chr_1	9402400	9402800	chr_1	9414400	9414800	0,0,0	12.380131	1.0	5.681095	4.8619237	7.1024313	6.9539094	2.571702	11.2756195
chr_1	4945600	4946400	chr_1	4966400	4967200	0,0,0	10.881389	0.9999999	4.9024167	6.594594	10.54696	10.263426	5.1096373	16.125286
chr_1	4276800	4277200	chr_1	4285600	4286000	0,0,0	10.422256	0.99997455	4.5154243	5.736809	6.5003643	5.4802227	2.733341	10.579608
chr_1	5359600	5360000	chr_1	5384400	5384800	0,0,0	10.101703	0.9999995	4.87361	6.486378	8.550894	8.818963	3.832209	14.584632
chr_1	2309600	2310400	chr_1	2430400	2431200	0,0,0	4.767519	0.99639326	2.7957206	2.3540642	2.4583871	3.5330417	1.0769105	5.625543
chr_1	4726000	4726400	chr_1	4747200	4747600	0,0,0	6.0542436	0.99985075	3.0395863	4.250806	4.729557	5.032132	1.785842	8.810626
chr_1	5077600	5078000	chr_1	5101200	5101600	0,0,0	24.879051	1.0	16.07492	2.0073948	4.685599	8.504948	1.1977527	10.289299
chr_1	4752000	4754000	chr_1	4800000	4802000	0,0,0	24.904045	1.0	5.9629707	64.353584	74.90752	32.906414	29.662779	90.1096
chr_1	2928800	2929200	chr_1	2956800	2957200	0,0,0	10.135554	0.99999726	4.202298	5.42013	9.00098	7.9856467	2.5137908	12.80354
chr_1	5880000	5880400	chr_1	5887600	5888000	0,0,0	8.99254	1.0	4.0433745	3.3238401	4.9939823	4.78541	1.8798662	7.7399344
chr_1	2311200	2311600	chr_1	2345600	2346000	0,0,0	52.989548	1.0	24.077984	8.278913	9.722407	8.900953	3.8325489	16.259987
chr_1	8100000	8100400	chr_1	8107600	8108000	0,0,0	6.4137483	0.9990621	3.3790417	2.354166	3.977805	4.8800015	1.5466746	6.972594
chr_1	9076000	9076400	chr_1	9087200	9087600	0,0,0	14.135002	1.0	6.8665333	4.4003816	6.3756914	6.762168	2.4005644	10.673618
chr_1	5247600	5248000	chr_1	5255600	5256000	0,0,0	9.094598	0.99993	3.9802432	4.744684	6.0348234	5.350527	2.8840384	9.568024
chr_1	4967200	4968000	chr_1	4992000	4992800	0,0,0	13.368974	1.0	3.8450565	11.877415	18.508106	11.404948	5.7695575	21.96265
chr_1	9294000	9296000	chr_1	9350000	9352000	0,0,0	3.8244057	0.99975395	2.1732392	3.4435048	6.970533	9.824184	2.1027668	12.885077
chr_1	6932800	6933600	chr_1	6955200	6956000	0,0,0	10.702204	0.99999356	4.3698173	6.2978234	7.9061666	6.359633	3.7374296	11.957699
chr_1	10624000	10626000	chr_1	10706000	10708000	0,0,0	7.1399837	0.9999982	1.9522519	11.189619	12.63384	6.1102924	4.4720693	16.056622
chr_1	4536000	4538000	chr_1	4588000	4590000	0,0,0	6.630961	0.9999995	3.3931568	6.23378	10.213432	11.931019	3.3105314	17.472157
chr_1	5038000	5040000	chr_1	5102000	5104000	0,0,0	7.7054543	0.99999917	3.8681364	6.96837	9.678152	10.721337	3.7264886	16.915443
chr_1	9568000	9570000	chr_1	9594000	9596000	0,0,0	7.621788	1.0	3.4643233	14.213432	17.508867	16.247253	6.83461	28.881414
chr_1	6932000	6934000	chr_1	6968000	6970000	0,0,0	13.384742	1.0	2.5741603	31.094505	34.953224	12.37669	11.184482	40.01625
chr_1	116800	117200	chr_1	136000	136400	0,0,0	8.746725	0.99999905	4.1725206	6.2524858	8.201341	8.304913	3.4881227	13.862678
chr_1	10796400	10796800	chr_1	10812000	10812400	0,0,0	7.6458783	0.999981	3.9001503	3.0586681	6.7913885	8.151247	2.2572942	10.870064
chr_1	9548000	9550000	chr_1	9594000	9596000	0,0,0	4.10892	0.99994814	1.9336798	7.3598237	8.46722	8.142947	2.848964	14.685012
chr_1	7910400	7911200	chr_1	7940000	7940800	0,0,0	9.043129	0.9999212	2.9947293	6.4166536	6.666865	3.7456965	3.0373356	9.449389
chr_1	6207200	6207600	chr_1	6226000	6226400	0,0,0	6.349443	1.0	2.4635825	3.5001144	4.1362605	3.0444117	1.4083968	6.155625
chr_1	609200	609600	chr_1	626400	626800	0,0,0	16.368162	0.99999994	5.5236344	9.863655	12.657515	8.223301	4.334905	16.990995
chr_1	4008000	4010000	chr_1	4058000	4060000	0,0,0	4.197236	0.9994725	1.9603623	3.7317777	4.419585	4.2310047	1.7991288	7.54814
chr_1	9913200	9913600	chr_1	9933600	9934000	0,0,0	10.890314	0.9999997	5.187848	6.1771603	9.150745	9.468627	2.810349	14.959436
chr_1	4724000	4726000	chr_1	4800000	4802000	0,0,0	6.083349	0.9999934	2.6759298	8.017226	8.842972	7.5578985	5.6189404	14.68432
chr_1	4560800	4561200	chr_1	4588000	4588400	0,0,0	20.645355	1.0	9.150043	7.5342774	10.142858	9.291396	3.1580534	15.988532
chr_1	339200	340000	chr_1	421600	422400	0,0,0	4.398396	0.9993833	2.140143	3.8027563	4.028605	4.011656	2.1535597	7.391884
chr_1	7626000	7626400	chr_1	7640400	7640800	0,0,0	10.747776	0.9999977	5.2023463	6.1669617	7.369792	7.4845448	2.2571416	12.966288
chr_1	9976800	9977200	chr_1	9994000	9994400	0,0,0	17.934889	1.0	8.5635395	4.4379864	8.148461	8.753513	2.58521	12.698389
chr_1	4850000	4852000	chr_1	4876000	4878000	0,0,0	7.697425	1.0	2.453197	14.80283	23.404604	15.78066	5.548611	28.93873
chr_1	1576800	1577200	chr_1	1607600	1608000	0,0,0	14.466068	1.0	6.1163735	9.567094	14.045739	12.374149	6.29102	20.878233
chr_1	2310400	2311200	chr_1	2372800	2373600	0,0,0	9.410588	0.9999923	3.5099149	6.605134	8.232988	5.9030313	2.5550456	11.774261
