chromosome1	x1	x2	chromosome2	y1	y2	color	APScoreAvg	ProbabilityofEnrichment	RegAPScoreAvg	Avg_diffMaxNeihgboor_1	Avg_diffMaxNeihgboor_2	avg	std	value
TadhH1_1	11340000	11340500	TadhH1_1	11401000	11401500	0,0,0	3.1902964	0.9955286	1.4548422	3.7874866	4.5300193	4.1910043	2.3349926	7.557659
TadhH1_1	14768200	14768400	TadhH1_1	14786600	14786800	0,0,0	6.1609282	0.99938405	2.7459433	2.9603293	4.922903	4.761676	1.5415579	7.3930798
TadhH1_1	2801000	2801500	TadhH1_1	2840000	2840500	0,0,0	3.05133	0.99762493	1.2930032	4.4339137	5.2296495	4.329172	1.7629828	8.270429
TadhH1_1	8739500	8740000	TadhH1_1	8829000	8829500	0,0,0	6.394589	0.9999734	1.772118	7.370921	8.216177	3.9852676	3.4667444	10.537198
TadhH1_1	1256500	1257000	TadhH1_1	1298500	1299000	0,0,0	4.811981	0.99930114	1.9794831	5.206926	6.2543793	5.0024185	2.6012883	9.630796
TadhH1_1	14678000	14678500	TadhH1_1	14732500	14733000	0,0,0	2.9053955	0.99658424	1.3712018	2.2288947	3.5719485	3.6987047	1.2101569	5.679944
TadhH1_1	3258000	3258500	TadhH1_1	3291500	3292000	0,0,0	3.7619183	0.99979806	1.3396564	6.699703	7.710028	5.037771	2.4769366	10.993063
TadhH1_1	815500	816000	TadhH1_1	928500	929000	0,0,0	6.1498785	0.99935204	2.8982794	2.98242	4.574601	4.691366	1.7072569	7.342406
TadhH1_1	3032000	3032200	TadhH1_1	3044400	3044600	0,0,0	15.820819	1.0	3.8595154	10.819663	11.772455	4.927444	3.7006764	14.544922
TadhH1_1	16299000	16299500	TadhH1_1	16353000	16353500	0,0,0	3.2738907	0.99157685	1.522556	2.8391514	4.294451	4.3125486	1.3994933	6.8362393
TadhH1_1	20764500	20765000	TadhH1_1	20797500	20798000	0,0,0	2.7476003	0.99744976	1.4725995	3.3303108	4.2735515	5.2303104	1.7990624	8.190586
TadhH1_1	12445000	12445500	TadhH1_1	12521500	12522000	0,0,0	7.564375	0.9999913	2.3430047	7.6605825	8.73732	4.8431506	3.5005507	11.652557
TadhH1_1	10336500	10337000	TadhH1_1	10398000	10398500	0,0,0	4.4051876	0.9996909	1.6515329	4.524042	5.6324234	4.0613294	2.1461334	8.082701
